Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
01/03/13,Cash,Household App,,"60,238.00",0,INR,"60,238.00",INR,
01/03/13,Cash,naveen cosmetic,,"14,132.00",0,INR,"14,132.00",INR,
01/03/13,Cash,San Cosmetic,,"14,557.00",0,INR,"14,557.00",INR,2012-2013
01/03/13,Cash,travel,,"36,355.00",0,INR,"36,355.00",INR,
01/03/13,Cash,MDU EB,,"3,256.00",0,INR,"3,256.00",INR,
01/03/13,Cash,Credit Card,,"1,74,295.00",0,INR,"1,74,295.00",INR,
01/03/13,Cash,San Pkt Money,,"13,875.00",0,INR,"13,875.00",INR,
01/03/13,Cash,lic prem,,"29,476.00",0,INR,"29,476.00",INR,
01/03/13,Cash,Naveen Mobiles,,"17,277.00",0,INR,"17,277.00",INR,
01/03/13,Cash,lux food,,"22,269.00",0,INR,"22,269.00",INR,2012-2013
01/03/13,Cash,Coking Gas,,"1,870.00",0,INR,"1,870.00",INR,
01/03/13,Cash,Hotel Food,,"13,553.00",0,INR,"13,553.00",INR,2012-2013
01/03/13,Cash,mdu house money,,"15,579.00",0,INR,"15,579.00",INR,
01/03/13,Cash,provision,,"54,305.00",0,INR,"54,305.00",INR,
01/03/13,Cash,Entertainment,,"10,946.00",0,INR,"10,946.00",INR,
01/03/13,Cash,Bike,,"5,203.00",0,INR,"5,203.00",INR,
01/03/13,Cash,San Mobile,,"3,045.00",0,INR,"3,045.00",INR,
01/03/13,Cash,Gold Gms,,13.67,0,INR,13.67,INR,
01/03/13,Cash,medical,,"24,828.00",0,INR,"24,828.00",INR,
01/03/13,Cash,Home Mobile,,838.00,0,INR,838.00,INR,
02/03/13,Cash,Amb Home,,"1,37,586.00",0,INR,"1,37,586.00",INR,2012-2013
01/04/13,Cash,Hotel Food,,450.00,0,INR,450.00,INR,
01/04/13,Cash,lux food,,730.00,0,INR,730.00,INR,
01/04/13,Cash,San Cosmetic,,350.00,0,INR,350.00,INR,
01/04/13,Cash,Bike,,300.00,0,INR,300.00,INR,
01/04/13,Cash,Household App,,"6,485.00",0,INR,"6,485.00",INR,
01/04/13,Cash,mdu house money,,"1,020.00",0,INR,"1,020.00",INR,
01/04/13,Cash,San Mobile,,334.00,0,INR,334.00,INR,
01/04/13,Cash,Entertainment,,"8,347.00",0,INR,"8,347.00",INR,
01/04/13,Cash,provision,,"3,826.00",0,INR,"3,826.00",INR,
01/04/13,Cash,Credit Card,,"22,531.00",0,INR,"22,531.00",INR,
01/04/13,Cash,travel,,396.00,0,INR,396.00,INR,
01/04/13,Cash,medical,,278.00,0,INR,278.00,INR,
01/04/13,Cash,Naveen Mobiles,,224.00,0,INR,224.00,INR,
01/04/13,Cash,San Pkt Money,,"1,000.00",0,INR,"1,000.00",INR,
01/04/13,Cash,Amb Home,,"10,000.00",0,INR,"10,000.00",INR,
01/04/13,Cash,naveen cosmetic,,"4,135.00",0,INR,"4,135.00",INR,
21/04/13,Cash,mdu house money,,50.00,0,INR,50.00,INR,
21/04/13,Cash,lic prem,,"7,250.00",0,INR,"7,250.00",INR,
23/04/13,Cash,provision,,113.00,0,INR,113.00,INR,
24/04/13,Cash,medical,,15.00,0,INR,15.00,INR,
26/04/13,Cash,naveen cosmetic,,136.00,0,INR,136.00,INR,
26/04/13,Cash,healthy food,,50.00,0,INR,50.00,INR,
26/04/13,Cash,lux food,,171.00,0,INR,171.00,INR,
26/04/13,Cash,travel,,94.00,0,INR,94.00,INR,
27/04/13,Cash,naveen cosmetic,,238.00,0,INR,238.00,INR,
27/04/13,Cash,medical,,168.00,0,INR,168.00,INR,
27/04/13,Cash,lux food,,75.00,0,INR,75.00,INR,
27/04/13,Cash,healthy food,,160.00,0,INR,160.00,INR,
27/04/13,Cash,lux food,,170.00,0,INR,170.00,INR,
27/04/13,Cash,vegetable,,175.00,0,INR,175.00,INR,
28/04/13,Cash,healthy food,,113.00,0,INR,113.00,INR,
28/04/13,Cash,vegetable,,136.00,0,INR,136.00,INR,
01/05/13,Cash,Credit Card,,"28,302.00",0,INR,"28,302.00",INR,
01/05/13,Cash,Amb Home,,"13,000.00",0,INR,"13,000.00",INR,
01/05/13,Cash,San Cosmetic,,500.00,0,INR,500.00,INR,
01/05/13,Cash,lic prem,,683.00,0,INR,683.00,INR,
01/05/13,Cash,Naveen Mobiles,,842.00,0,INR,842.00,INR,
01/05/13,Cash,naveen cosmetic,,200.00,0,INR,200.00,INR,
01/05/13,Cash,lux food,,490.00,0,INR,490.00,INR,
01/05/13,Cash,travel,,40.00,0,INR,40.00,INR,
01/05/13,Cash,Credit Card,,"22,531.00",0,INR,"22,531.00",INR,
02/05/13,Cash,Household App,,700.00,0,INR,700.00,INR,
02/05/13,Cash,Coking Gas,,400.00,0,INR,400.00,INR,
02/05/13,Cash,vegetable,,15.00,0,INR,15.00,INR,
02/05/13,Cash,healthy food,,150.00,0,INR,150.00,INR,
02/05/13,Cash,San Pkt Money,,"1,500.00",0,INR,"1,500.00",INR,
04/05/13,Cash,San Mobile,,184.00,0,INR,184.00,INR,
04/05/13,Cash,provision,,58.00,0,INR,58.00,INR,
04/05/13,Cash,lux food,,20.00,0,INR,20.00,INR,
04/05/13,Cash,Bike,,200.00,0,INR,200.00,INR,
05/05/13,Cash,lux food,,50.00,0,INR,50.00,INR,
05/05/13,Cash,provision,,164.00,0,INR,164.00,INR,
05/05/13,Cash,healthy food,,410.00,0,INR,410.00,INR,
05/05/13,Cash,healthy food,,128.00,0,INR,128.00,INR,
05/05/13,Cash,vegetable,,290.00,0,INR,290.00,INR,
05/05/13,Cash,provision,,881.00,0,INR,881.00,INR,
05/05/13,Cash,provision,,"1,072.00",0,INR,"1,072.00",INR,
06/05/13,Cash,HDFC RD,,"5,000.00",0,INR,"5,000.00",INR,
06/05/13,Cash,healthy food,,50.00,0,INR,50.00,INR,
06/05/13,Cash,San Cosmetic,,"1,290.00",0,INR,"1,290.00",INR,
07/05/13,Cash,healthy food,,75.00,0,INR,75.00,INR,
07/05/13,Cash,Hotel Food,,80.00,0,INR,80.00,INR,
07/05/13,Cash,mdu house money,,200.00,0,INR,200.00,INR,
11/05/13,Cash,lux food,,260.00,0,INR,260.00,INR,
11/05/13,Cash,Household App,,40.00,0,INR,40.00,INR,
12/05/13,Cash,travel,,36.00,0,INR,36.00,INR,
12/05/13,Cash,healthy food,,310.00,0,INR,310.00,INR,
12/05/13,Cash,Entertainment,,190.00,0,INR,190.00,INR,
12/05/13,Cash,lux food,,24.00,0,INR,24.00,INR,
12/05/13,Cash,Hotel Food,,20.00,0,INR,20.00,INR,
12/05/13,Cash,provision,,126.00,0,INR,126.00,INR,
12/05/13,Cash,San Cosmetic,,720.00,0,INR,720.00,INR,
12/05/13,Cash,Household App,,403.00,0,INR,403.00,INR,
